API_Num,UTM_X,UTM_Y,  Long_X,  Lat_Y,SP_Top_ft
1.21412E+11,307943.4658,4673481.165,-89.325895,42.189913,549.0779199
1.21412E+11,310247.4253,4669808.35,-89.296818,42.157423,580.4102362
1.21412E+11,311457.4611,4669367.291,-89.28204,42.153746,607.7473097
1.21412E+11,313763.2333,4668810.305,-89.253975,42.149285,680.306168
1.21412E+11,313466.3979,4668729.59,-89.257539,42.148488,660.443143
1.21412E+11,314044.438,4668489.865,-89.250472,42.146468,692.2236877
1.21412E+11,317238.5869,4667957.344,-89.211677,42.142427,669.9963583
1.21412E+11,315605.0353,4667407.282,-89.231257,42.137094,660.6055446
1.21412E+11,312256.5527,4668347.114,-89.272047,42.144757,701.1500656
1.21412E+11,316205.2659,4666581.032,-89.223739,42.129799,600.5409121
1.21412E+11,317413.0863,4665938.213,-89.208935,42.124296,620.0668307
1.21412E+11,317608.1464,4665327.265,-89.206386,42.118843,671.7037073
1.21412E+11,309065.7237,4664275.274,-89.3093,42.107343,580.8273294
1.21412E+11,311055.5623,4669581.18,-89.28697,42.155574,580.7967848
1.21412E+11,311639.3658,4667760.637,-89.279321,42.139331,633.8785105
1.21412E+11,313458.6877,4668528.782,-89.257568,42.146679,664.4090879
1.21412E+11,312431.3486,4666757.018,-89.269422,42.130489,540.002395
1.21412E+11,314195.8446,4665864.62,-89.247805,42.122878,607.7646325
1.21412E+11,316203.9896,4666379.613,-89.223691,42.127986,527.4278543
1.21412E+11,319235.1078,4666287.535,-89.187016,42.127862,623.350689
1.21412E+11,318406.5514,4674012.45,-89.199441,42.197193,513.1211614
1.21412E+11,316368.8237,4669288.543,-89.222614,42.154204,618.0185367
1.21412E+11,310854.0586,4669587.028,-89.289409,42.155578,580.5744423
1.21412E+11,311460.3368,4669771.581,-89.282136,42.157385,612.1442585
1.21412E+11,311425.0586,4667171.872,-89.281722,42.133981,565.141273
1.21412E+11,318836.9082,4666702.198,-89.191959,42.131502,614.2307087
1.21412E+11,313592.9893,4665286.039,-89.254908,42.117528,611.878937
1.21412E+11,318222.3594,4666318.996,-89.19927,42.127911,660.7062008
1.21412E+11,314176.8361,4664495.05,-89.247599,42.110548,681.0496063
1.21412E+11,313275.1848,4668937.442,-89.259918,42.150313,718.7795276
1.21412E+11,317928.6168,4666830.692,-89.202981,42.132448,664.9799869
1.21412E+11,315501.1295,4667311.217,-89.232483,42.136205,598.9918635
1.21412E+11,314409.9642,4667268.503,-89.245663,42.135563,561.8653871
1.21412E+11,309369.8793,4664372.733,-89.305656,42.108294,589.4284777
1.21412E+11,320006.4644,4664317.921,-89.177083,42.110313,507.2973753
1.21412E+11,319647.2046,4666676.883,-89.182154,42.131461,615.2312664
1.21412E+11,317432.2827,4667348.088,-89.209144,42.136989,650.8415026
1.21412E+11,311253.4105,4668765.479,-89.284313,42.148281,701.6488517
1.21412E+11,318436.5704,4666916.27,-89.196866,42.133336,665.9420604
1.21412E+11,317422.1992,4666744.332,-89.209077,42.131553,663.8084646
1.21412E+11,312454.5787,4668147.053,-89.269588,42.143004,663.7325459
1.21412E+11,308973.8009,4664578.344,-89.31051,42.110048,648.3201115
1.21412E+11,316017.2943,4667793.645,-89.226394,42.140668,641.7147638
1.21412E+11,313388.0504,4663914.264,-89.256947,42.105134,708.8813648
1.21412E+11,311054.4524,4669175.731,-89.286852,42.151925,646.0048885
1.21412E+11,316126.0702,4671816.539,-89.226348,42.176898,503.7930774
1.21412E+11,316410.2531,4666572.584,-89.221258,42.129771,543.8935039
1.21412E+11,319251.2432,4667091.688,-89.18707,42.135103,624.9449803
1.21412E+11,310652.5501,4669389.531,-89.291782,42.153752,587.3152559
1.21412E+11,308384.7345,4666805.084,-89.31836,42.129943,654.3654528
1.21412E+11,317164.2591,4672985.785,-89.214154,42.187664,521.430479
1.21412E+11,320025.5342,4665461.772,-89.177205,42.120612,551.2408465
1.21412E+11,311454.9176,4668962.993,-89.28194,42.150107,686.875
1.21412E+11,311255.4071,4669170.57,-89.28442,42.151927,653.6370407
1.21412E+11,318888.4169,4668913.914,-89.192023,42.151419,760.5200131
1.21412E+11,318618.1111,4665703.247,-89.194294,42.122461,578.7557087
1.21412E+11,312209.077,4668821.857,-89.272774,42.149018,691.4134843
1.21412E+11,311040.5492,4667774.209,-89.286566,42.139309,565.2983596
1.21412E+11,315567.7641,4664274.573,-89.230718,42.108892,650.3120735
1.21412E+11,318602.3541,4664835.75,-89.194215,42.11465,522.8155512
1.21412E+11,315768.6046,4664272.663,-89.22829,42.108922,585.0215223
1.21412E+11,317764.3961,4672565.77,-89.20676,42.184024,526.8538714
1.21412E+11,318036.1535,4667129.591,-89.201774,42.135163,660.9564633
1.21412E+11,314984.5003,4667031.401,-89.238641,42.133565,540.5033136
1.21412E+11,319781.747,4666070.441,-89.18034,42.126034,600.5199475
1.21412E+11,309390.5434,4665177.914,-89.305669,42.115545,668.0479331
1.21412E+11,314964.1771,4664078.689,-89.237951,42.106987,613.446752
1.21412E+11,310348.0546,4669906.984,-89.295633,42.158335,584.4200459
1.21412E+11,305982.9674,4665638.793,-89.347008,42.118857,730.6577428
1.21412E+11,316756.8585,4672998.264,-89.219088,42.187681,534.2778215
1.21412E+11,320181.891,4669073.253,-89.176428,42.153151,732.4207349
1.21412E+11,318031.8815,4666928.697,-89.201763,42.133354,661.1950787
1.21412E+11,317024.1877,4667158.21,-89.214019,42.135185,608.4444554
1.21412E+11,312451.2972,4667949.015,-89.269564,42.141221,646.3303478
1.21412E+11,313260.8898,4668138.436,-89.259835,42.143119,677.2203084
1.21412E+11,312992.3909,4665311.703,-89.262176,42.117616,669.7360564
1.21412E+11,322926.7357,4666990.365,-89.142596,42.13503,505.0897966
1.21412E+11,317175.5807,4664052.645,-89.211216,42.107271,572.1331693
1.21412E+11,308714.0911,4671841.785,-89.316031,42.175349,576.9256234
1.21412E+11,312056.1837,4668750.481,-89.2746,42.148339,702.9855315
1.21412E+11,314239.7333,4668476.495,-89.248106,42.146394,641.5431102
1.21412E+11,314473.6706,4669469.614,-89.245593,42.155387,623.0807087
1.21412E+11,314222.3611,4667481.008,-89.247999,42.137431,603.593832
1.21412E+11,318105.7639,4669744.417,-89.201748,42.158712,660.0966535
1.21412E+11,317850.3311,4667940.296,-89.204274,42.142416,720.604626
1.21412E+11,318017.2804,4665919.94,-89.201625,42.124272,672.2683399
1.21412E+11,314584.1541,4665635.285,-89.243038,42.120906,580.2467848
1.21412E+11,317631.4504,4667141.041,-89.206671,42.135172,659.2854659
1.21412E+11,315792.7892,4665789.09,-89.228476,42.122575,580.7957021
1.21412E+11,320399.9784,4667264.017,-89.173233,42.136918,671.2094488
1.21412E+11,319180.8421,4673132.496,-89.189796,42.189453,560.1790354
1.21412E+11,317037.3065,4668164.458,-89.214176,42.144244,682.6780184
1.21412E+11,310841.0212,4667778.557,-89.28898,42.1393,560.5758202
1.21412E+11,306921.1068,4673697.262,-89.338338,42.191606,560.7711942
1.21412E+11,314568.8658,4664086.169,-89.242731,42.106961,654.9533793
1.21412E+11,311256.524,4669372.89,-89.284472,42.153748,644.4470801
1.21413E+11,315170.3702,4664884.656,-89.235714,42.114289,633.5976378
1.21413E+11,317681.9569,4669152.014,-89.206689,42.153282,645.2752297
1.21413E+11,314262.7409,4669079.923,-89.24802,42.15183,610.1950459
1.21413E+11,308771.4349,4665388.566,-89.313221,42.11729,676.7821194
1.21413E+11,317346.8752,4672176.126,-89.21169,42.18042,511.6274278
1.21413E+11,317026.6734,4667359.263,-89.214052,42.136995,657.2815945
1.21413E+11,317807.1812,4665118.899,-89.203915,42.117014,650.9996063
1.21413E+11,313784.6243,4665074.081,-89.252524,42.115666,631.6635171
1.21413E+11,314781.5566,4666843.161,-89.241035,42.131823,583.7811024
1.21413E+11,317606.2429,4665125.532,-89.206346,42.117027,636.8709318
1.21413E+11,315860.9118,4669205.898,-89.228731,42.153341,545.7489829
1.21413E+11,314765.5089,4664081.675,-89.240353,42.106967,636.3132218
1.21413E+11,318431.8856,4666714.942,-89.19686,42.131523,663.0209318
1.21413E+11,317342.4921,4671975.232,-89.21168,42.178611,518.8461286
1.21413E+11,307046.0849,4669031.932,-89.33528,42.149654,658.003773
1.21413E+11,315168.8057,4664682.688,-89.235669,42.112471,662.8102362
1.21413E+11,321699.255,4665404.627,-89.156954,42.12048,550.4225066
1.21413E+11,318648.3007,4667312.165,-89.194429,42.136948,680.5652887
1.21413E+11,313474.0109,4668929.846,-89.257511,42.150292,688.2274606
1.21413E+11,310248.6327,4669604.41,-89.296737,42.155588,582.6808071
1.21413E+11,318671.6757,4668317.806,-89.194459,42.146004,720.1732612
1.21413E+11,314802.8781,4667639.529,-89.24103,42.138995,586.7513123
1.21413E+11,318833.2355,4666501.178,-89.191941,42.129692,659.0707349
1.21413E+11,321545.5564,4667216.277,-89.159366,42.13675,604.3844488
1.21413E+11,315801.3797,4666999.025,-89.228754,42.133466,612.351542
1.21413E+11,317638.8782,4667543.527,-89.206707,42.138796,668.1529199
1.21413E+11,315811.4596,4667600.453,-89.228822,42.138881,555.9479331
1.21413E+11,318213.1875,4665715.665,-89.199193,42.122479,620.6738845
1.21413E+11,310853.6797,4668978.097,-89.289216,42.150098,657.6944882
1.21413E+11,317450.8817,4668354.191,-89.209234,42.146048,711.1887139
1.21413E+11,319035.7926,4666494.758,-89.18949,42.129681,626.7629921
1.21413E+11,306272.9213,4670058.371,-89.344971,42.1587,639.2958005
1.21413E+11,309052.8784,4669613.696,-89.311202,42.155381,650.5769029
1.21413E+11,316005.6284,4666991.25,-89.226282,42.133444,641.7443898
1.21413E+11,322500.8996,4665589.197,-89.147319,42.122323,537.4259843
1.21413E+11,311886.5453,4671598.674,-89.277571,42.17393,541.5065289
1.21413E+11,320525.8462,4666431.7,-89.171455,42.129456,580.307874
1.21413E+11,313782.1042,4664103.317,-89.252245,42.106929,703.6583005
1.21413E+11,311701.9941,4672224.101,-89.280006,42.179514,500.1910433
1.21413E+11,313872.4796,4669105.327,-89.252748,42.151966,732.1794619
1.21413E+11,315079.0544,4669838.616,-89.238388,42.158851,580.8098097
1.21413E+11,319039.7131,4666695.993,-89.189505,42.131493,619.4427165
1.21413E+11,317235.6928,4667756.302,-89.211649,42.140617,727.662664
1.21413E+11,316005.959,4666991.242,-89.226278,42.133444,661.7443898
1.21413E+11,315616.9263,4668007.665,-89.231303,42.1425,627.7869751
1.21413E+11,317807.2631,4665320.79,-89.203977,42.118831,626.1879593
1.21413E+11,319036.0491,4666495.085,-89.189487,42.129684,646.7629921
1.21413E+11,321097.054,4665215.421,-89.164176,42.11864,557.9336614
1.21413E+11,318830.4809,4666300.468,-89.191912,42.127885,634.8631562
1.21413E+11,306172.5232,4664617.797,-89.344378,42.109716,719.2911745
1.21413E+11,308271.5303,4670431.769,-89.320921,42.162552,622.118832
1.21413E+11,314044.4439,4668490.087,-89.250472,42.14647,721.2236877
1.21413E+11,315828.0104,4668402.055,-89.228875,42.146099,664.0433071
1.21413E+11,315805.1309,4667199.713,-89.228772,42.135273,650.0015092
1.21413E+11,314218.6997,4667282.316,-89.24798,42.135642,628.458563
1.21413E+11,319434.5232,4666080.539,-89.184541,42.126045,610.1631234
1.21413E+11,316020.4624,4667994.348,-89.226419,42.142475,655.2865157
1.21413E+11,319890.4029,4673907.771,-89.181449,42.196594,492.2319882
1.21413E+11,307521.28,4672254.211,-89.330598,42.178768,509.6813648
1.21413E+11,306784.5136,4665213.87,-89.337179,42.115231,726.6160761
1.21413E+11,313674.2768,4668651.312,-89.255,42.147833,681.702231
1.21413E+11,318367.2774,4669738.784,-89.198583,42.158722,665.499147
1.21413E+11,318026.0874,4665321.478,-89.201332,42.118888,641.0422572
1.21413E+11,318220.7889,4666319.036,-89.199289,42.127911,673.7062008
1.21413E+11,319054.0276,4665983.394,-89.189111,42.125083,608.0771325
1.21413E+11,318813.9801,4666208.668,-89.192083,42.127055,628.4230971
1.21413E+11,313864.2223,4668707.966,-89.252721,42.148388,685.5996719
1.21413E+11,317291.8711,4669448.678,-89.2115,42.155861,656.236122
